  0.00000000000E+00  1.99999908300E+00  7.07106782924E-01  3.84900249680E-01
  7.88092139397E-03  1.98429929096E+00  7.01550571006E-01  3.81875279632E-01
  1.57736621126E-02  1.96869946446E+00  6.96018865483E-01  3.78862556550E-01
  2.36782398817E-02  1.95319915077E+00  6.90511628744E-01  3.75862072375E-01
  3.15946724538E-02  1.93779789796E+00  6.85028822973E-01  3.72873818925E-01
  3.95229776080E-02  1.92249525489E+00  6.79570410153E-01  3.69897787895E-01
  4.74631731501E-02  1.90729077125E+00  6.74136352066E-01  3.66933970855E-01
  5.54152769126E-02  1.89218399752E+00  6.68726610292E-01  3.63982359253E-01
  6.33793067547E-02  1.87717448500E+00  6.63341146208E-01  3.61042944409E-01
  7.13552805623E-02  1.86226178583E+00  6.57979920995E-01  3.58115717524E-01
  7.93432162484E-02  1.84744545299E+00  6.52642895633E-01  3.55200669672E-01
  8.73431317526E-02  1.83272504027E+00  6.47330030904E-01  3.52297791804E-01
  9.53550450415E-02  1.81810010233E+00  6.42041287392E-01  3.49407074747E-01
  1.03378974109E-01  1.80357019468E+00  6.36776625483E-01  3.46528509206E-01
  1.11414936975E-01  1.78913487368E+00  6.31536005368E-01  3.43662085761E-01
  1.19462951687E-01  1.77479369656E+00  6.26319387043E-01  3.40807794868E-01
  1.27523036320E-01  1.76054622141E+00  6.21126730308E-01  3.37965626860E-01
  1.35595208976E-01  1.74639200720E+00  6.15957994769E-01  3.35135571947E-01
  1.43679487784E-01  1.73233061381E+00  6.10813139839E-01  3.32317620215E-01
  1.51775890899E-01  1.71836160197E+00  6.05692124738E-01  3.29511761627E-01
  1.59884436505E-01  1.70448453333E+00  6.00594908495E-01  3.26717986024E-01
  1.68005142813E-01  1.69069897041E+00  5.95521449946E-01  3.23936283120E-01
  1.76138028060E-01  1.67700447668E+00  5.90471707739E-01  3.21166642511E-01
  1.84283110512E-01  1.66340061649E+00  5.85445640331E-01  3.18409053666E-01
  1.92440408460E-01  1.64988695511E+00  5.80443205990E-01  3.15663505933E-01
